date,close,5. volume
2022-02-01,52.68,2481518.0
2022-02-02,52.74,1198310.0
2022-02-03,52.53,2258917.0
2022-02-04,52.16,1371352.0
2022-02-07,52.24,1011900.0
2022-02-08,52.06,963521.0
2022-02-09,52.11,818396.0
2022-02-10,51.62,974171.0
2022-02-11,51.97,1799833.0
2022-02-14,51.68,1204111.0
2022-02-15,51.57,826395.0
2022-02-16,51.63,882824.0
2022-02-17,51.76,732052.0
2022-02-18,51.84,755481.0
2022-02-22,51.78,1234918.0
2022-02-23,51.56,1053492.0
2022-02-24,51.64,1376853.0
2022-02-25,51.71,585667.0
2022-02-28,52.08,1079835.0
